id,user,likes,dislikes,followers
3,vhowgego2,574,3236,16876
6,bhutchence5,503,2556,11889
8,pcucinotta7,978,3484,12414
12,acalcottb,2544,3291,14800
13,hfenlonc,524,3135,17125
14,phigbind,1122,1667,15810
17,dgifkinsg,2416,2923,18255
21,emulqueenk,2986,3354,11737
25,hdaykino,2024,3357,17474
27,jlysterq,680,1693,12454
29,gmerrgans,748,1680,15943
32,nthurlbeckv,1363,2052,10221
35,cmarshamy,2582,3458,14475
36,flagez,693,1954,10844
38,ayea11,1217,3422,19818
42,kitzakovitz15,2199,3447,18438
44,ojanu17,900,1664,10709
47,srowett1a,1651,3455,11577
48,ahodgins1b,1708,3302,11674
49,mboycott1c,624,1256,12891
50,lbarribal1d,2399,2401,10947
51,jnorsworthy1e,1154,3107,10649
53,jsaing1g,1050,1281,16456
56,mtithecott1j,1779,2650,13519
58,kmeineken1l,1790,2980,15525
59,nkubicek1m,1347,3109,13697
62,akemson1p,525,774,15824
63,cgossling1q,2680,2953,12595
65,cfriday1s,775,2331,17857
66,eantusch1t,1196,3055,11462
67,chintzer1u,2059,3322,18571
69,gletts1w,2036,2612,18037
70,jjosefsen1x,1234,1239,19980
71,tmckeaney1y,1132,1946,13027
72,mlorden1z,2405,3029,17810
74,bmarcus21,1245,3440,13626
76,mgerriet23,1310,2691,12968
77,mlovatt24,1017,2215,16073
79,kklemencic26,1654,3407,19085
80,mvossgen27,2024,3378,12347
81,lnorcliff28,1829,2202,11407
83,wjeavon2a,791,1430,19530
84,skingston2b,2808,3335,10570
87,dkeilty2e,756,935,13322
88,lholbarrow2f,541,2104,11948
89,cgrimsdell2g,1200,3455,11890
90,malexis2h,1925,2781,15574
93,dgoracci2k,2961,3491,18843
94,eearey2l,1465,2361,18948
97,gmacsharry2o,1778,2582,10065
